	T-cell	Cancer-1	Cancer-2	Myeloid-1	Cancer-3	Cancer-4	Oligo	Cancer-5	Myeloid-2	Myeloid-3	Myeloid-4	Cancer-6	Giant Cell Cancer	Cycling	Vasculature-2	Other Immune-1	Vasculature-2	Other Immune-2
TNFSF18	-0.000217495	-0.000178246	-0.000161413	0.000838384	-0.000358785	-8.02E-05	-0.000129338	-0.000180779	-0.000613726	0.001877855	-0.000197712	-0.000121445	-0.000127819	-4.94E-05	-0.000162036	-0.000275685	-9.14E-05	-0.000219388
IGFBP4	-0.000262976	-0.000169128	-0.000224485	-0.000149537	-0.000490745	-4.88E-05	-0.000262047	-0.000216708	5.45E-05	-0.00031938	-0.000241807	0.000345066	0.001687531	0.000281834	0.003403119	-0.000244578	0.001732077	-0.000305994
WDFY4	-0.000225677	-0.000299293	-0.000298183	0.000984527	-0.000504607	-0.00022757	-0.00022545	-0.000269057	0.000986778	0.000229171	0.000286085	-0.000256001	-0.000245024	3.60E-05	-0.000134176	0.000639255	-0.000170974	0.000479563
ROBO2	-0.000384734	0.002165458	-0.000342577	-0.000227188	-0.000384452	-0.000128519	-0.000220859	0.000409762	-0.000262344	-0.000454813	-0.000273337	0.001773598	-0.000303586	-0.000230815	-0.000290553	-0.000397399	-0.000252293	-0.000298329
SELE	-8.05E-05	-0.000119447	-7.37E-05	-0.000186864	-0.000170802	9.20E-05	-6.57E-05	1.05E-05	-0.000107002	0.000412709	-7.28E-05	-5.60E-05	9.03E-05	1.04E-05	-5.33E-05	-5.20E-05	0.001884408	-5.82E-05
TGFB2	-0.000386332	0.000235579	-0.000510581	-0.000133919	-0.000789825	0.001232941	-0.000324516	0.002691949	-0.000242003	-0.000438042	-0.000283529	-0.000393546	0.000696165	-0.00026625	-9.07E-05	-0.000372896	-0.000237864	-0.000336298
CXCL13	0.000107578	-8.45E-05	-6.59E-05	-1.38E-05	-0.00013822	-0.000109238	-4.17E-05	-3.36E-05	-1.86E-05	-0.000146037	-6.01E-05	-0.000112977	0.001015092	0.00029294	-0.000210195	0.000122001	-7.38E-05	-5.86E-05
AOC3	-0.000114062	-0.00014078	-0.000127721	-8.60E-05	-6.10E-06	-0.000223561	-7.95E-05	-0.000186451	-4.99E-05	-6.99E-05	-1.45E-05	-0.000142507	-0.000742426	0.000105614	0.005536468	-0.000152842	-0.000446402	-9.51E-05
STAT6	0.000284331	-0.000506276	-0.000483159	0.000615837	-0.000689882	-7.17E-05	-0.000370359	-0.00032514	0.001023308	-0.000370455	0.001247034	-0.000381819	-0.000203772	-0.00037691	0.000849619	-5.71E-05	0.000219092	0.000328493
CALU	-0.000895824	0.000811385	-0.000303795	-0.000259368	0.000831761	0.001386043	-8.80E-05	0.000204071	-0.00010527	-0.000761556	-0.000743463	-0.00066215	0.001900066	0.001310029	0.000108315	-0.000118913	0.000234999	-0.000277774
METTL7B	-0.00034917	0.002246013	-0.000587933	-0.000110402	-0.000567039	0.00154219	-0.000298018	-0.000378931	-0.000138942	-0.000397253	-0.000226513	-0.000498191	-0.000400726	2.56E-05	-0.000339359	-0.000330691	-0.00021268	-0.000297783
MPZL3	0.000558477	-0.000164142	-0.000202015	-0.00013907	-0.000261724	-9.90E-05	-0.000148019	-8.68E-05	-0.000120409	-7.05E-05	0.000807078	-0.000128393	-7.20E-05	-4.92E-05	-0.000147194	-0.000129791	0.000158833	-0.00019218
CLSPN	-0.000188137	-3.50E-05	-0.000337339	-0.000110536	-0.000555707	-0.00019079	-0.000222149	-0.000273289	-7.08E-05	-0.000284595	-0.000199083	0.001876904	0.000228975	0.005842065	-0.000131365	-0.000287476	-0.000136789	-9.19E-05
SLC6A6	5.37E-06	-0.000464436	-0.000370272	-0.0001193	0.001588658	-0.000218973	0.000267435	-0.000572137	0.000357576	-0.000261762	0.001451316	-0.000197546	-0.00012625	-0.00023597	-0.000283083	-0.000378711	-3.52E-05	-0.000123282
LIPA	-0.000390077	-0.000617489	-0.00031783	0.001576028	-0.000660609	0.000207983	0.001163624	-0.000364013	0.001023377	-0.000334518	-0.000524663	-0.00058865	0.000102944	-0.000363304	-0.000194684	-0.000606531	0.000407512	-0.000281775
ENTPD1	-0.00028661	-0.00023983	-0.000379651	0.001543561	-0.000798229	-0.000257671	-0.00035024	-0.000231495	0.000779122	-0.000654007	0.000898113	-0.00051412	-0.000356178	0.000201456	0.001254133	-0.000127904	0.001182752	-0.00021621
ATAD2	-8.24E-05	0.000159176	-0.000244898	-0.00011741	-0.000448935	-1.03E-05	-0.000334466	-0.000190988	-0.000169984	-0.000401558	-0.000278222	0.000988857	-0.000110438	0.006071838	-5.49E-05	-0.000322792	5.51E-05	6.67E-05
FPR3	-0.000354744	-0.000283633	-0.000301076	0.000739815	-0.000467539	-0.00020996	-0.000216393	-0.000251374	0.002429139	0.000161409	-0.00039893	-0.000243723	-0.000137199	-0.000170257	-0.000183663	-0.000477306	-0.000182517	-0.000394113
DCLK1	-0.000489565	0.000350813	-0.000208037	-0.000262375	-0.000227262	0.001132588	-0.000405021	0.00263158	-0.000347159	-0.000707827	-0.000362301	0.001007126	0.000403027	-0.000570584	-0.00045715	-0.000417544	-0.000165359	-0.000403754
ZBP1	0.0005015	-0.000145809	-0.000220607	1.29E-07	-0.0002588	-0.000106576	-0.000123569	-0.000142692	-0.00012843	-0.000361488	0.000322777	-0.000144204	-0.000123525	-0.000123074	-0.000114003	0.002467184	-9.66E-05	-0.000157252
GPR132	0.000506762	-0.000277638	-0.000279621	5.33E-05	-0.000437582	-0.000234635	-0.00021371	-0.000231715	0.000430851	0.000905133	0.000117599	-0.000242082	-0.000226262	-4.02E-05	-0.000201469	-0.000250692	-0.000197181	-0.000270019
MMP2	-0.000400156	0.000763783	-0.000124831	0.000572632	-0.000368644	-1.73E-05	-0.000330222	-0.000532103	-8.54E-06	-0.000456064	-0.000308622	-0.000207334	0.00388849	-0.000613569	-0.000621057	-0.000444809	0.000183248	-0.000354811
BEX1	-0.000479355	0.000169755	0.002156438	-0.000333971	-0.000419011	-0.000175766	6.30E-05	6.37E-05	-0.000334116	-0.000379665	-0.000316214	0.001652434	-0.000441414	0.000351285	-0.000344159	-0.000417483	-0.000297684	-0.000341892
CDH5	-0.000188106	-4.84E-07	-0.00020538	-0.000101157	0.000374897	-5.31E-06	-0.000151607	-0.0002638	-0.000102897	-0.000309538	-8.83E-05	-0.000145396	-0.000193668	-1.77E-05	-0.000323123	-0.000178443	0.005312152	-0.00018708
IL21R	0.000655288	-0.000235714	-0.000229366	0.000500253	-0.000374401	-0.000126653	-0.000171606	-0.000155169	0.000123373	-0.000286675	-0.000173679	-0.000231645	-6.63E-05	0.000195421	-0.000129673	-0.000153496	-0.000142853	-0.000227685
AC253572.2	-2.29E-05	-0.000248772	-0.000202972	0.001211185	-0.000383077	-0.000202893	-0.000180573	-0.000169348	-0.000510217	0.000858734	-0.000157834	-0.000191852	-5.05E-05	-5.88E-05	-0.000187363	0.000633834	-0.000155995	-4.54E-05
PBX4	0.0007209	-0.000148129	-0.000118142	-8.99E-05	-0.000125611	-0.000103423	-0.000125818	-8.15E-05	-0.000152531	-0.000202255	-0.000108505	6.69E-05	-0.000108263	0.000157749	-9.80E-05	-0.000192972	-8.84E-05	-0.00019749
SPIB	6.45E-06	-9.71E-05	-0.000119633	-0.000330237	-0.000223988	-0.00011376	-8.23E-05	-0.000120089	0.000555532	0.000637377	-0.000145923	3.39E-05	-9.90E-05	-0.000150822	-8.87E-05	0.001237306	-5.05E-05	0.000416865
DTHD1	0.000535933	-2.10E-05	-0.000129097	-5.90E-05	-0.000216065	-0.000117867	-6.07E-05	0.000269437	-8.91E-05	-0.000233781	-8.43E-05	-5.52E-05	-8.09E-05	-0.000118482	-9.13E-05	-0.000234935	-8.25E-05	-0.000171702
CLEC2B	0.000483497	-0.000649692	-0.00046365	0.000386068	-0.000214731	-0.000238959	-0.000368099	-0.000455307	0.000366672	0.00103223	0.000275338	-0.000478557	0.000362408	0.000202784	-0.000316497	-0.000202628	0.000462691	-0.000204705
OXNAD1	0.001069846	-0.000155993	-0.000137101	-5.94E-05	-0.000255236	4.14E-05	-0.000117237	-0.000256248	-0.000200673	-0.000537559	-0.000233774	-0.000210636	3.94E-05	0.000264807	-0.000188209	-0.000256214	-9.62E-05	-0.000126404
HCG27	1.23E-05	-8.17E-05	-7.49E-05	0.000144265	-0.000105325	-4.49E-05	-6.98E-05	-4.36E-05	1.26E-05	-0.000714596	0.001416396	-0.000140558	-7.96E-05	0.000344541	-1.65E-05	-5.75E-05	-3.06E-05	-7.64E-05
HIGD1B	-0.000112377	-7.73E-05	-0.000129442	-2.94E-05	-0.000185282	-0.000199337	-8.77E-05	-0.000243812	-6.15E-05	-0.000248446	-8.16E-05	-0.00017825	-0.000360214	0.000118112	0.004549852	-0.000130171	0.000772476	-0.000101125
PIK3C2B	-0.000207993	0.002406757	-1.09E-05	-0.000165462	-0.001286721	-0.000464346	0.000682904	-0.000702052	-0.000195254	-9.15E-05	-0.000253716	0.000321424	-9.12E-05	-0.000839479	-0.000234607	-0.000163532	0.000280133	0.000276535
UCHL1	-0.000525827	0.000334938	-9.36E-05	-0.000385218	0.000372508	0.000509035	0.000824389	0.000698386	-0.000336353	-0.000558348	-0.000368054	0.002255427	-0.000240438	-5.39E-05	-0.000286042	-0.000495498	-0.000281064	-0.000424517
MOXD1	-0.000317836	8.08E-05	-0.000373033	-0.000189029	-0.000387643	0.00363889	-0.000268734	-0.000432153	-0.000220428	-0.000425623	-0.000211012	-0.00012357	-0.000171076	-0.000142994	-0.000205725	-0.00019734	-0.000222878	-0.000252816
ANO9	0.000796448	-0.000135993	-0.000144181	-7.42E-05	-0.000207547	-9.04E-05	-0.000102377	-0.000112913	-9.51E-05	-0.000236923	-9.52E-05	-0.000102156	-9.48E-05	-0.000168536	-9.20E-05	-0.000150788	-7.22E-05	-0.000129266
CD79A	-6.33E-05	-0.000124317	-0.000201586	-6.37E-05	-0.000203667	-8.87E-05	-0.000112183	-0.000123209	-0.000111466	-0.000276622	-7.89E-05	-0.000137565	-0.000113907	-4.02E-05	-0.000106709	0.006929043	-9.36E-05	-7.80E-05
LILRA4	-1.01E-05	-8.57E-05	-0.000115053	0.00022472	-0.000173228	-8.63E-05	-7.37E-05	-0.000102016	0.00048197	-0.000179503	-4.19E-05	-2.37E-05	-5.97E-05	-0.000230609	-6.40E-05	0.001030349	-1.30E-05	0.000401964
PARVG	0.000365764	-0.000390231	-0.000379842	0.001172022	-0.000558555	-0.000285399	-0.000283477	-0.000315512	0.00096172	-0.000384777	0.000210608	-0.000349747	-0.000286933	-1.33E-05	-0.000234165	-8.58E-05	-0.000175316	0.000268592
VAV1	0.000358395	-0.000406681	-0.000405327	0.001216851	-0.000600641	-0.000244742	-0.000293492	-0.00031278	0.000827119	-0.000438111	0.00037915	-0.0003945	-0.000288115	0.000171896	-0.000245699	3.15E-05	-0.00023933	0.000756158
GABRB3	-0.000261063	-0.000730416	0.002269248	-0.000177447	-0.000397578	-0.000164376	-0.000216497	-0.000211808	-0.000160297	-0.000202188	-0.000188181	0.002118875	-0.000168585	-0.000243963	-0.000141027	-0.000328425	-0.000137408	-0.000243824
MEF2C	-0.000524033	-0.000201466	-0.00045197	0.002155369	-0.000484836	-0.000211462	-0.000442003	-0.000380602	0.000725844	-0.000350422	-0.00038096	-0.000219239	-3.45E-05	6.59E-05	0.001037188	0.000902685	0.00062529	-0.000414726
ARAP2	0.000618775	0.000776376	-0.000642539	-0.000165346	-0.000666088	-0.000193386	0.000996619	0.000899899	-0.000220764	-0.000459541	-0.000193563	-0.000580321	-0.000527719	-0.000255753	-0.000481154	-0.000461502	-0.000236332	-0.000488042
TRABD2A	0.00066576	-0.000232646	-0.000177582	-0.000164237	-0.000155394	-4.86E-05	-0.00014526	-0.000205823	-0.000132412	-2.37E-05	-0.000147623	-0.000119496	0.000905921	-0.000222769	-0.000318088	-0.000148883	1.03E-05	-0.000206424
CNTNAP2	-0.000237538	-0.000364787	0.000118554	0.000146595	-0.000474258	-6.65E-05	0.001227296	-0.000112353	-0.000246672	-0.000400274	-0.000161251	0.002701408	-0.000169205	-0.000265517	-0.000154834	-0.000145628	-0.000122706	-0.000182495
CDA	-0.000152386	-0.000136885	-0.000136998	-7.47E-05	-0.000220615	-8.15E-05	-0.000107173	-0.000108314	5.37E-05	-0.000489386	0.002503481	-0.000141635	-0.000135895	-9.66E-06	-0.000145218	-0.000135167	0.000985977	1.55E-05
HEY1	-0.000452212	6.28E-05	0.001343783	-0.000257951	-0.000354624	0.00070518	-0.000372554	0.001473182	-0.000286588	-0.00050831	-0.000301887	-0.000555023	-0.00010702	-0.000102671	-0.000108421	-0.000475087	0.000274702	7.27E-05
PRRX1	-0.000588915	0.000446201	0.000116469	-0.000372604	-0.000640014	0.001705242	-0.000497523	0.001708129	-0.000425503	-0.000680063	-0.000413926	-0.000688748	0.00214177	-1.35E-05	0.000377996	-0.000556569	-0.000365736	-0.000497017
SMIM25	-0.000201844	-0.000175453	-0.000178938	-0.000386794	-0.00021286	-0.000143651	-0.000128676	-0.000153758	0.000951671	0.000186711	0.001957112	-0.000150794	-5.32E-05	-0.0001401	-0.000111468	-0.000234183	-0.000113095	-0.000334448
ZNF704	-0.000576191	0.000503357	0.001106474	-0.000363579	-0.000186227	-0.000371504	0.000556837	-0.000387831	-0.000398483	-0.000522086	-0.000420099	0.002769507	-0.000352671	0.001046608	0.000558473	-0.000518969	2.22E-05	0.000137264
SLC14A1	0.000211006	-0.000182141	-3.75E-05	1.59E-05	-0.000387397	-0.000215062	-5.41E-05	0.001036739	-7.20E-05	-0.000285847	-6.29E-05	-9.22E-05	-7.14E-05	-3.69E-05	-9.85E-06	4.95E-05	0.00020491	3.11E-05
PELI1	-0.000124055	-0.000484906	9.70E-05	0.000623285	-0.0007145	-0.000249794	-0.000230811	-0.000397736	-0.000315742	0.001290499	0.001631688	-0.000188173	-0.000276908	-0.000173794	-0.000132621	0.001200789	0.000200533	-0.000259928
SYNJ2	-6.14E-05	-0.000112303	-0.000537055	-0.000306423	-0.000286321	0.000340412	0.002346029	-0.000329684	-0.000215801	-0.000242153	-0.000199966	-4.68E-05	0.000150794	0.000159862	-0.000243968	-0.000278833	0.000178981	0.000269209
C11orf21	0.000506403	-0.00013701	-0.000153711	-5.27E-05	-0.000232103	-0.000101227	-0.000107847	-0.000116205	7.41E-05	-0.000176388	0.000525647	-0.000133475	-0.000111984	-7.48E-05	-8.35E-05	-0.000276429	-8.55E-05	0.000313082
COL15A1	-0.000153752	-0.00011471	-0.000151018	2.78E-05	-7.48E-05	-5.97E-05	-0.000124404	-0.000169242	-7.86E-05	-0.000154165	-0.000107331	-5.80E-05	0.001206491	-0.000233239	0.00079309	-1.39E-06	0.001898142	-0.000143116
IGLV1.40	-7.68E-05	-2.81E-05	-6.09E-05	-3.76E-05	-4.84E-05	-2.10E-05	-2.64E-05	-3.24E-05	-3.52E-05	-7.79E-05	-3.26E-05	-3.74E-05	-2.84E-05	1.91E-06	-3.12E-05	0.002515476	-2.52E-05	1.37E-05
P2RX5	0.000535263	-0.000187598	-5.09E-05	5.51E-05	-0.000254174	-8.54E-05	-0.000122046	-0.000134505	-8.12E-05	-0.000347137	-9.64E-05	-0.000156246	-0.000120466	1.68E-05	-9.18E-05	0.001643797	-0.000101272	3.02E-05
CITED1	-0.000266269	0.001086998	-0.00032134	-0.00021872	0.0006801	0.000512101	-0.000181494	0.000350543	-0.000205257	-0.000185432	-0.000197276	0.000122276	-0.00038499	-0.000474569	-0.00023078	-0.000250985	-0.000172587	-0.000229878
BTNL9	-4.98E-05	-0.000137368	-4.20E-05	-2.83E-05	-0.000159048	-0.000139389	-8.28E-05	-0.000111582	-9.47E-05	-0.00012923	-6.42E-05	-7.45E-05	-0.000222586	-0.000132321	-0.000113622	0.000362934	0.003775067	-6.14E-05
GPR18	0.000525393	-0.000128166	-0.000121754	-7.59E-05	-0.000200651	-8.82E-05	-9.85E-05	-0.000103413	-3.66E-05	5.04E-05	-6.45E-05	-0.0001104	-9.18E-05	2.53E-06	-7.99E-05	0.000131462	-8.13E-05	-4.67E-05
CNTRL	0.000447561	-0.000261279	-0.000157524	0.000616319	-0.000627628	-0.000320389	-0.000257935	-0.000180859	0.000243789	-0.000120886	-0.000172222	-0.000171199	-0.000361026	0.002180328	-0.000200825	0.000194396	-0.000141623	0.000343818
PBK	-0.000379715	-0.000123547	-0.000274811	-0.000243047	-0.000359583	-0.000158977	-0.000208642	-0.000248209	-0.000383222	-0.000116544	-0.000185427	-0.000410045	0.000308795	0.010487711	-0.000299511	-0.000219817	-0.000177266	-0.000340687
FCRL1	7.67E-05	-7.93E-05	-6.09E-05	-1.57E-06	-0.000133607	-5.24E-05	-6.81E-05	-7.38E-05	-9.81E-05	-0.000110491	0.000395678	-5.99E-05	-5.92E-05	-8.74E-05	-6.02E-05	0.001431027	-5.58E-05	6.45E-05
LILRA5	-0.000133427	-0.000104443	-0.000129822	-0.000298489	-0.000225461	-8.23E-05	-9.93E-05	-0.000106895	0.000715426	-0.000163812	0.001791208	-9.91E-05	-0.000105936	-0.000103765	-7.60E-05	-5.39E-05	-7.96E-05	-0.000146397
LHFPL3	-0.000370723	0.00088957	0.00245095	-0.000217783	-0.00056218	-5.97E-05	-0.000256318	-0.000339807	-0.000228683	-0.000486892	-0.000251173	-0.000547421	-0.00029331	-4.33E-05	-0.000279388	-0.000323134	-0.000217976	-0.000271956
RERGL	-0.000102501	-0.000115668	-0.000119273	-7.42E-05	-9.80E-05	-0.00021313	-8.45E-05	-0.000193619	-7.44E-05	-2.07E-05	-7.16E-05	-0.000143257	-0.000762346	0.000129952	0.005224701	-0.00013104	-0.000112158	-8.60E-05
GFI1	0.000742175	-0.000173475	-0.000157928	-2.60E-05	-0.000224306	-9.88E-05	-0.000109966	-0.000106751	-8.99E-05	-0.000339065	-1.56E-05	-0.000198965	-7.70E-05	0.00034816	-9.60E-05	3.48E-05	-9.48E-05	0.000255528
CYFIP1	-0.000738783	0.000326602	-0.000506929	0.002023237	-0.000106911	0.000669838	-0.000548175	9.05E-05	0.000664707	-0.000583386	-0.000588939	-0.000513055	-1.16E-05	0.000245327	0.000148548	-0.000806452	0.000324079	-0.000383481
SULT1B1	-3.64E-05	-0.000146583	-0.000135899	-0.000104117	-0.000215435	-4.41E-05	-0.000108101	-0.000121619	-3.07E-05	-0.000138795	0.001847352	-0.000117965	-0.000123584	-7.01E-05	-0.00011955	-9.39E-05	0.00088829	-0.000194201
KCNA3	0.00062969	-0.000104715	-0.000131025	-0.00012689	-0.000200412	-7.74E-05	-0.000112754	-0.000103462	-0.000111577	-4.85E-05	-0.000106718	-2.34E-05	-0.000109735	-0.000155564	-0.00010065	0.000482418	-9.27E-05	-0.000184624
GDF15	-0.000209499	0.000232589	-0.00028889	-0.000238204	0.000214297	0.00087696	-0.000177947	-9.46E-05	-0.00016622	0.000232788	-0.000148038	-6.35E-05	0.00039525	-0.000381401	0.000121117	-0.000194208	0.000710422	-6.98E-05
TGFBR3	0.000573263	7.41E-05	-0.0003022	-0.000232376	-7.97E-05	-7.43E-05	-0.000184539	-9.12E-05	-0.000255085	-8.77E-05	-0.000200157	-8.85E-05	0.000536545	-0.000417883	0.000688502	-0.000201063	0.000810266	-0.000254537
TFRC	-0.000357004	0.000517845	-0.000578248	-0.000106514	0.000822628	0.000113285	-0.000530897	-0.0002621	5.36E-05	0.002162489	-0.000597137	-0.000239722	0.000414135	0.000244914	-0.000558921	-0.000510081	0.000268259	-0.00049833
AHR	-0.000244072	-0.000318729	-0.000593916	-0.000508871	-0.000199233	0.000582271	0.000115047	0.000835119	0.001210606	0.001334739	-0.000586138	-0.000469401	-0.000170761	-0.000298083	1.49E-05	-0.000668798	-8.88E-06	0.00251395
WSCD1	-0.000511459	0.00225065	0.001113338	-0.000253507	0.000490759	-0.000344774	0.000120393	-0.000849589	-0.000344583	-0.000718718	-0.000353744	-8.60E-05	-0.000491237	8.74E-05	-0.000371862	-0.000468314	-0.00015373	-0.000439428
PHOSPHO1	-9.95E-05	-8.83E-05	-7.71E-05	-3.90E-05	-0.000172792	-6.95E-05	-6.29E-05	-8.40E-05	-0.000306576	-3.59E-05	0.002185431	-0.000103449	-7.25E-05	-2.18E-05	-5.49E-05	-6.19E-05	-5.06E-05	-0.000252933
ASPA	-0.000235159	-0.000225682	-0.000311526	-0.000157429	-0.000508158	-0.000153644	0.002766127	0.000103495	-0.000181099	-0.000216931	-0.000173966	-0.000211933	-5.98E-05	-8.81E-05	7.04E-05	-0.000210214	-0.00010449	-0.000175851
MAP3K1	0.000134241	0.000572396	0.000485488	0.000253854	-0.000601697	-0.000273878	-0.000367807	-0.000511122	0.000615206	-0.000901861	0.000264047	-1.87E-06	-0.000296529	0.0002073	-0.000112155	0.000398952	2.26E-05	0.000551233
TUBA1B	-0.000778852	0.000358905	-0.000423147	0.000620428	-0.000466162	0.000778902	0.000171596	7.89E-05	-0.000166936	-0.000367028	-0.000849855	0.000992133	0.000420306	0.004566142	-0.000105683	-0.000834078	1.41E-05	-9.57E-05
HSPG2	-0.00026846	-0.000308187	-0.000251258	-0.000198106	0.000132815	0.000464309	-0.000180191	-0.000216686	-0.000167818	-0.000248279	-0.000192688	-0.000260442	0.001013747	-8.66E-05	0.000939751	-0.00020657	0.004098376	0.000203566
ELAVL3	-0.000447307	-0.000407912	0.001018311	-0.000256106	0.000777361	-0.000498355	0.001639039	-0.000485597	-0.00033141	-0.000539218	-0.000315406	0.002205985	-0.000449409	0.000169913	-0.000269841	-0.000320842	-0.000274676	-0.000366298
SULF2	-0.000622222	0.000430149	0.001234357	-0.000575997	0.000206638	0.000901045	-0.000564502	0.00055582	0.000320615	-0.000632176	0.000136376	-0.000273169	0.000483267	-0.00091827	-0.000175717	-0.00034378	0.00027812	-0.000481236
IGLV3.1	-0.000221773	-7.75E-05	-0.000200458	-8.44E-05	-0.0001128	-5.15E-05	-7.63E-05	-8.07E-05	-0.000112115	-0.000235428	-7.51E-05	-0.000114965	-7.37E-05	-1.84E-05	-6.80E-05	0.007231277	-5.46E-05	-0.000314439
IGHV3.15	-9.01E-05	-4.00E-05	-6.93E-05	-4.37E-05	-5.69E-05	-2.56E-05	-3.64E-05	-3.48E-05	-4.60E-05	-0.000107455	-3.15E-05	-5.11E-05	-3.79E-05	9.70E-06	-3.93E-05	0.003162544	-3.24E-05	-0.000107674
INA	-0.000212799	-0.000695834	0.002672735	-0.000150745	-0.00031203	-0.000108429	-0.000221939	-0.000292397	-0.000132494	-0.000212277	-0.000163663	0.000699721	-0.000109888	-0.00076299	-0.000160181	-0.000160246	-0.00012648	-0.000166993
HERPUD1	-5.20E-06	-0.000292883	-0.000455705	0.000700331	-0.0002805	-0.000232251	-0.000204672	-0.000266471	0.000200155	0.001278827	-0.000374497	-0.000570057	0.000259173	-0.000496472	-0.000164493	0.002468731	0.000583505	-0.000453785
PDCD1	0.000766379	-0.000161891	-0.000157485	-1.96E-05	-0.000217588	-9.56E-05	-0.000112745	-0.000101704	-9.29E-05	-0.000119486	-0.000123334	-0.000175346	-8.91E-05	0.000140418	-9.98E-05	-0.000251204	-9.17E-05	-0.000254169
TOB1	0.000602107	-0.000116337	0.000246498	-0.000429609	-0.000552026	-0.000217243	0.000283957	0.000151881	-0.000496152	0.000605842	0.000337671	-0.000207322	-7.86E-05	-0.000362483	0.000291083	-0.000230735	-0.000218227	9.08E-05
MCF2L	-0.000276191	0.000133738	0.00016302	0.001238584	-0.000320895	-0.000342276	0.000418554	-0.000394344	-0.000565935	-0.000782352	-0.000199545	0.00120877	6.77E-05	-0.000321316	-0.00041765	-0.000430853	0.0016229	-0.000265331
CXCL16	-0.000560845	4.76E-05	-0.000455376	0.001406104	-0.000729917	-0.000215051	-0.000363177	-0.000342347	0.001042617	0.001372689	0.00034573	-0.000391683	-0.000166769	-0.000282492	-0.000348203	-0.000568776	-0.000306632	0.000197351
MEGF6	0.000364983	-0.000289966	-0.000241804	-0.000105534	-0.000181166	-0.000293784	-0.0001628	-2.40E-05	-2.40E-05	-0.000286112	0.000612695	0.000359942	0.001197541	3.27E-05	-0.000280747	-0.000235667	0.000227414	-4.42E-06
VSIG1	0.000508904	-0.000106205	-7.74E-05	-6.64E-05	-0.000116343	-5.66E-05	-8.38E-05	-9.16E-05	-0.000132792	-6.12E-05	-7.36E-05	-5.46E-05	-6.84E-05	-0.000209177	-8.11E-05	-9.14E-05	0.000106595	-5.22E-05
TNFAIP6	-0.000401333	-0.000151361	-0.000330488	-0.00052024	-0.000178343	0.000844942	-0.000184401	0.00014453	-0.000288418	0.000744787	0.001283229	-0.000573974	0.001338114	0.001050487	1.69E-05	-0.000397158	-0.000219464	-0.000383862
CARMN	-7.53E-05	-8.48E-05	-8.16E-05	2.58E-05	-0.000122443	-9.42E-05	-7.36E-05	-0.000176184	-1.10E-05	-0.000328496	-3.16E-05	-0.000111742	-3.77E-05	8.04E-05	0.00334559	-0.00011526	-7.18E-05	-3.16E-05
LINC02207	-0.000204577	-0.000171239	-0.000186563	0.000268794	-0.000337555	-0.000146106	-0.000147771	-0.000165358	0.000162979	0.000273844	0.001791921	-0.000154396	-0.000151769	-0.000112669	-0.000127002	1.75E-05	-0.000136862	0.001560154
SATB1	0.000370352	-0.000255197	0.001301012	-0.000337092	-0.000727625	-0.000296131	-0.000228261	-0.000409498	0.001001156	-0.000298765	-0.0001202	0.000650843	-0.000261568	-0.000861182	-9.89E-05	-0.000487005	-0.000211532	0.000133837
SAA2	-8.81E-05	-0.000400435	-0.000118942	-0.00012282	-9.03E-05	9.54E-05	-7.96E-05	0.001477522	-6.91E-05	0.000124319	-6.25E-05	-9.33E-05	-3.38E-05	0.000115448	-9.08E-05	-8.92E-05	-5.74E-05	-7.17E-05
GCNT4	0.000437149	-0.000108545	-9.33E-05	-5.01E-05	-9.99E-05	-4.08E-05	-8.82E-05	-2.31E-05	-0.000138623	-0.00010672	-8.13E-05	-7.15E-05	-4.19E-05	-0.000190766	0.000137964	3.41E-05	-8.36E-05	0.000634195
CCDC3	-0.00020106	-0.000387328	-0.000188685	-0.000190829	-1.91E-05	0.000447573	-0.000138988	-0.000266807	-0.000137677	-3.77E-05	-0.000149882	-8.40E-05	-0.000411219	0.000101263	0.004399505	-0.000205804	0.001460144	-0.000171322
HBA2	2.56E-05	-6.42E-05	9.45E-05	-1.70E-06	4.00E-05	-4.36E-05	8.94E-06	-3.72E-05	-3.33E-05	-2.38E-05	3.33E-06	-9.23E-05	-6.38E-05	0.000168708	2.39E-05	-4.35E-05	7.74E-05	-2.70E-05
JUNB	0.000389676	-0.000726906	-0.000260107	-0.000184516	-0.000846268	4.27E-05	0.000104121	0.000653615	-0.000905971	0.002671474	-0.000180257	-0.000608453	0.000102967	-0.00088267	0.000837651	0.000625811	0.000425746	0.000486576
OXTR	-0.000258359	0.000647871	-0.000371323	-0.000123023	0.000228638	0.00153465	-0.000195272	0.000112074	-0.000171269	-0.000386166	-0.000189774	-0.000315549	-8.64E-05	-0.000122002	-0.000193538	-0.000220015	-0.000123905	-0.000246467
CD160	0.000417258	-5.77E-05	-7.81E-05	-0.000101208	-0.000141796	-4.29E-05	-5.97E-05	-8.92E-05	-7.03E-05	7.63E-05	-5.85E-05	-6.71E-05	-6.20E-05	7.67E-06	-5.47E-05	-0.000189839	-2.06E-05	-2.76E-05
TSPAN32	0.000560021	-0.00013289	-0.000140537	-8.83E-05	-0.000221544	-8.96E-05	-0.00010474	-0.000120539	7.21E-05	-3.50E-05	0.00012693	-0.000113495	-9.82E-05	-0.00016724	-7.47E-05	-0.000174973	-8.62E-05	0.000509969
